amenity,neighbourhood,postcode,district
Café Curado - Specialty Coffee,Colonia Roma Norte,06700,Cuauhtémoc
Banco Azteca,Colonia Roma Norte,06700,Cuauhtémoc
,Colonia Roma Sur,06760,Cuauhtémoc
,Colonia Roma Sur,06760,Cuauhtémoc
,Colonia Juárez,06700,Cuauhtémoc
,Colonia Roma Sur,06760,Cuauhtémoc
Café Curado - Specialty Coffee,Colonia Roma Norte,06700,Cuauhtémoc
,Centro Urbano Benito Juárez,06700,Cuauhtémoc
Lucas Local,Colonia Roma Norte,06700,Cuauhtémoc
,Colonia Doctores,06720,Cuauhtémoc
,Colonia Roma Sur,06760,Cuauhtémoc
,Colonia Roma Sur,06760,Cuauhtémoc
,Colonia Roma Sur,06760,Cuauhtémoc
,Colonia Roma Sur,06760,Cuauhtémoc
,Colonia Roma Sur,06760,Cuauhtémoc
,Colonia Roma Sur,06760,Cuauhtémoc
,Colonia Roma Sur,06760,Cuauhtémoc
,Centro Urbano Benito Juárez,06760,Cuauhtémoc
,Colonia Roma Sur,06760,Cuauhtémoc
,Colonia Roma Sur,06760,Cuauhtémoc
Constela Café,Colonia Roma Norte,06700,Cuauhtémoc
,Colonia Roma Sur,06760,Cuauhtémoc
,Colonia Roma Sur,06760,Cuauhtémoc
,Colonia Roma Sur,06760,Cuauhtémoc
,Colonia Piedad Narvarte,03103,Benito Juárez
,Centro Urbano Benito Juárez,06700,Cuauhtémoc
,Colonia Roma Norte,06700,Cuauhtémoc
,Centro Urbano Benito Juárez,06760,Cuauhtémoc
,Centro Urbano Benito Juárez,06760,Cuauhtémoc
,Colonia Hipódromo,06100,Cuauhtémoc
,Colonia Roma Sur,06760,Cuauhtémoc
,Colonia Roma Norte,06700,Cuauhtémoc
Constela Café,Colonia Roma Norte,06700,Cuauhtémoc
Constela Café,Colonia Roma Norte,06700,Cuauhtémoc
,Colonia Roma Norte,06700,Cuauhtémoc
,Colonia Roma Sur,06760,Cuauhtémoc
,Colonia Roma Sur,06760,Cuauhtémoc
,Colonia Roma Sur,06760,Cuauhtémoc
Constela Café,Colonia Roma Norte,06700,Cuauhtémoc
Universidad de la Comunicación,Colonia Roma Norte,06700,Cuauhtémoc
Constela Café,Colonia Roma Norte,06700,Cuauhtémoc
Constela Café,Colonia Roma Norte,06700,Cuauhtémoc
